ลำดับ,รหัสสถานบริการ,,ชื่อสถานบริการ,,ตำบล/แขวงที่ตั้ง,อำเภอ/เขตที่ตั้ง,,จังหวัดที่ตั้ง,สปสช.เขตที่ตั้ง,,สถานะการขึ้นทะเบียน,,,สังกัดหลัก,สังกัดย่อย
3820,23369,,ศูนย์ประสานความร่วมมือ ระหว่างไทย-ออสเตรเลีย-เนเธอแลนด์เพื่อการศึกษาวิจัยทางคลินิกด้านโรคเอดส์,,ปทุมวัน,เขตปทุมวัน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐพิเศษ,สังกัดสภากาชาดไทย
3845,23439,,คลินิกเวชกรรมงามเจริญ,,ท่าข้าม,เขตบางขุนเทียน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
3882,23554,,คลินิกทันตกรรมทันตแพทย์ธงชัย 2,,บางไผ่,เขตบางแค,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
3885,23557,,คลินิกเวชกรรมสิรินรักษ์,,ประเวศ,เขตประเวศ,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
3888,23585,,คลินิกต้นไทรทันตแพทย์1,,บางลำภูล่าง,เขตคลองสาน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
3900,23609,,คลินิกทันตกรรม105,,บางนา,เขตบางนา,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
3914,23653,,รักษ์ฟันคลินิกทันตกรรม,,สีกัน,เขตดอนเมือง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
3924,23686,,คลินิกทันตกรรม ฟ.ฟันสะอาด,,เสาชิงช้า,เขตพระนคร,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
3934,23717,,คลินิกทันตกรรมทันตแพทย์ประเทือง,,มีนบุรี,เขตมีนบุรี,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
3941,23760,,สำนักวัณโรค กรมควบคุมโรค,,บางโคล่,เขตบางคอแหลม,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(นอก สป.),สังกัดกรมควบคุมโรค
3942,23762,,โรงพยาบาลนวุติสมเด็จย่า,,สามเสนใน,เขตพญาไท,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกระทรวงมหาดไทย / สำนักงานตำรวจแห่งชาติ
3943,23766,,หน่วยปฏิบัติการบริการวิทยาศาสตร์สุขภาพ คณะสหเวชศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,,ปทุมวัน,เขตปทุมวัน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม
3945,23781,,นวมินทร์ 9 โรงพยาบาลทั่วไปขนาดใหญ่,,มีนบุรี,เขตมีนบุรี,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
3946,23783,,โรงพยาบาลทั่วไปขนาดใหญ่สินแพทย์เสรีรักษ์,,มีนบุรี,เขตมีนบุรี,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
3958,23846,,คลินิกทันตกรรมสวนอ้อย,,ดุสิต,เขตดุสิต,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
3969,23868,,พิทักษ์-บางไผ่คลินิกเวชกรรม,,บางหว้า,เขตภาษีเจริญ,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
3970,23869,,คลินิกเฉพาะทางด้านเวชกรรมไตเทียมราชวัตร (หลักสี่),,อนุสาวรีย์,เขตบางเขน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
3971,23870,,คลินิกเวชกรรมราม 42,,หัวหมาก,เขตบางกะปิ,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
3975,23880,,หน่วยไตเทียมมูลนิธิโรคไตแห่งประเทศไทย ณ ตึกกัลยาณิวัฒนา โรงพยาบาลสงฆ์,,ทุ่งพญาไท,เขตราชเทวี,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(นอก สป.),สังกัดกรมการแพทย์
3979,23884,,เกียรติการแพทย์คลินิกเวชกรรม สาขาจันทรเกษม,,จันทรเกษม,เขตจตุจักร,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
3980,23886,,คลินิกเวชกรรมจรัญสนิทวงศ์ 83/1,,บางอ้อ,เขตบางพลัด,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
3992,23923,,สถานพยาบาลกรมแพทย์ทหารบก,,ทุ่งพญาไท,เขตราชเทวี,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกระทรวงกลาโหม
3997,23941,,คลินิกทันตกรรม เอส เอ็ม แอล,,วัดเทพศิรินทร์,เขตป้อมปราบศัตรูพ่าย,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4000,23950,,คลินิกทันตกรรมเดนท์ ดีไฟน์,,พระโขนง,เขตคลองเตย,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4005,23968,,คลินิกเฉพาะทางด้านเวชกรรมไตเทียมเซ็นทรัล,,หนองค้างพลู,เขตหนองแขม,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4010,24008,,ทันตแพทย์มนตรีคลินิกทันตกรรม,,บางปะกอก,เขตราษฎร์บูรณะ,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4018,24037,,โรงพยาบาลพญาไท นวมินทร์,,คลองกุ่ม,เขตบึงกุ่ม,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
4041,24159,,เนชั่นแนลเฮลท์แคร์ซีสเท็มส์คลินิกเทคนิคการแพทย์,,บางกะปิ,เขตห้วยขวาง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4060,24257,,สหคลินิกจุฬารัตน์ 7,,ประเวศ,เขตประเวศ,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4061,24258,,คลินิกเวชกรรมจุฬารัตน์ 8,,ลาดกระบัง,เขตลาดกระบัง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4064,24297,,บางซ่อนคลินิกเวชกรรม,,บางซื่อ,เขตบางซื่อ,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4069,24305,,คลินิกเสรีการแพทย์,,ประเวศ,เขตประเวศ,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4075,24380,,มีนบุรีคลินิกเวชกรรม,,มีนบุรี,เขตมีนบุรี,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4090,24552,,เกียรติการแพทย์คลินิกเวชกรรม สาขาเสรีไทย,,คันนายาว,เขตคันนายาว,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4110,24694,,คลินิกทันตกรรมพีสไมล์,,หนองแขม,เขตหนองแขม,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4112,24696,,คลินิกทันตกรรมเจริญผล,,วังใหม่,เขตปทุมวัน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4115,24719,,คลินิกเวชกรรมเฉพาะทางไตเทียมตรัยเวชชก์,,หนองค้างพลู,เขตหนองแขม,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4126,24795,,คลินิกทันตกรรมบ้านฟันฟ้าใส,,บางจาก,เขตพระโขนง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4129,24816,,คลินิกทันตกรรม ฟ.ฟัน 27,,ราษฎร์บูรณะ,เขตราษฎร์บูรณะ,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4150,24977,,ประชาชื่นบางนา เอ็ม อาร์ ไอ คลินิกเฉพาะทางด้านเวชกรรมรังสี,,บางนา,เขตบางนา,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4153,25015,,โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา,,บางหว้า,เขตภาษีเจริญ,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
4154,25032,,เค.พี.เอส.การแพทย์คลินิกเวชกรรมเฉพาะทางโรคไต,,วัดท่าพระ,เขตบางกอกใหญ่,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4156,25036,,สหคลินิกทางด่วนเพื่อชุมชน(ดินแดง),,ดินแดง,เขตดินแดง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4158,25060,,โรงพยาบาลผู้สูงอายุบางขุนเทียน,,ท่าข้าม,เขตบางขุนเทียน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
4159,27442,,คลินิกเวชกรรมเฉพาะทางไตเทียมรื่นฤดี,,ดุสิต,เขตดุสิต,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4165,28774,,คลินิกเฉพาะทางด้านเวชกรรมไตเทียมเพชรเกษม 94,,บางแคเหนือ,เขตบางแค,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4166,28777,,ศูนย์การแพทย์บางรัก,,ยานนาวา,เขตสาทร,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(นอก สป.),สังกัดกรมควบคุมโรค
4167,28782,,คลินิกเวชกรรมเฉพาะทางไตเทียมราชวัตร กรุงเทพกรีฑา,,สะพานสูง,เขตสะพานสูง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4168,28824,,รามอินทราคลินิกเฉพาะทางด้านเวชกรรมไตเทียม,,อนุสาวรีย์,เขตบางเขน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4169,28833,,คลินิกเทคนิคการแพทย์กรุงเทพอาร์ ไอ เอ แล็บ เลขที่ 73,,พลับพลา,เขตวังทองหลาง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4170,28834,,จีโนมโมเลกุล แลบบอราตอรี่สหคลินิก,,ลาดพร้าว,เขตลาดพร้าว,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4171,28835,,คลินิกเทคนิคการแพทย์ศูนย์แลบธนบุรี,,แสมดำ,เขตบางขุนเทียน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4172,28836,,คลินิกเฉพาะทางด้านเวชกรรมไตเทียมเจริญนคร 14,,คลองต้นไทร,เขตคลองสาน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4183,28892,,ศูนย์บริการสุขภาพแห่งจุฬาลงกรณ์มหาวิทยาลัย,,วังใหม่,เขตปทุมวัน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม
4184,28896,,โปรแล็บสหคลินิก,,คลองจั่น,เขตบางกะปิ,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4198,40498,,คลินิกเฉพาะทางด้านเวชกรรมไตเทียมลุมพินี,,ทุ่งมหาเมฆ,เขตสาทร,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4199,40731,,สุขผลินไตเทียม คลินิกเวชกรรมเฉพาะทางไตเทียม,,ดอกไม้,เขตประเวศ,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4201,40733,,ราชพฤกษ์ไตเทียมสหคลินิก,,บ้านช่างหล่อ,เขตบางกอกน้อย,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4203,40748,,คลินิกเวชกรรมเฉพาะทางไตเทียมมูลนิธิกู้ภัยร่มไทร,,มีนบุรี,เขตมีนบุรี,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4204,40752,,คลินิกเฉพาะทางด้านเวชกรรมไตเทียมบางชัน,,มีนบุรี,เขตมีนบุรี,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4207,40813,,เคคลินิกเวชกรรม สาขาอ่อนนุช,,พระโขนงเหนือ,เขตวัฒนา,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4209,40842,,เค.พี.เอส.การแพทย์คลินิกเฉพาะทางด้านเวชกรรมอายุรศาสตร์โรคไต สาขาพระราม๒,,บางมด,เขตจอมทอง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4211,40849,,คลินิกเฉพาะทางด้านเวชกรรมอายุรศาสตร์โรคไต ชัญญเวชไตเทียม สาขาเจริญนคร,,คลองต้นไทร,เขตคลองสาน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4212,40856,,โรงพยาบาลสมิติเวชไชน่าทาวน์โรงพยาบาลทั่วไปขนาดกลาง,,สัมพันธวงศ์,เขตสัมพันธวงศ์,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
4213,40858,,ปัญญาไตเทียมคลินิกเฉพาะทางด้านเวชกรรมอายุรศาสตร์โรคไต,,คันนายาว,เขตคันนายาว,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4214,40859,,ราชพฤกษ์พระราม 3 คลินิกเวชกรรม,,บางโคล่,เขตบางคอแหลม,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4215,40860,,ศูนย์รับบริจาคอวัยวะสภากาชาดไทย,,ปทุมวัน,เขตปทุมวัน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐพิเศษ,สังกัดสภากาชาดไทย
4216,40861,,ศูนย์ดวงตาสภากาชาดไทย,,วังใหม่,เขตปทุมวัน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐพิเศษ,สังกัดสภากาชาดไทย
4217,40865,,โรงพยาบาลทั่วไปขนาดเล็ก เอส วาย เอช,,อนุสาวรีย์,เขตบางเขน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
4220,40889,,ศูนย์กายภาพบำบัด คณะกายภาพบำบัด มหาวิทยาลัยมหิดล,,บางยี่ขัน,เขตบางพลัด,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม
4221,40890,,คลินิกเฉพาะทางด้านเวชกรรมไตเทียม เค ที เมดิคอล เซอร์วิส,,สวนหลวง,เขตสวนหลวง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4223,40892,,หนองจอกคลินิกเฉพาะทางด้านเวชกรรมอายุรศาสตร์โรคไต,,โคกแฝด,เขตหนองจอก,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4226,40906,,ศูนย์บริการสาธารณสุขโรงพยาบาลทันตกรรม คณะทันตแพทย์ศาสตร์ มหาวิทยาลัยศรีนครินทรวิโรฒ,,คลองเตยเหนือ,เขตวัฒนา,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม
4228,40968,,พระยาสุเรนทร์คลินิกเวชกรรม,,บางชัน,เขตคลองสามวา,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4229,40978,,เคสหคลินิก สาขาเดอะช็อปปส์แกรนด์พระราม 9,,ห้วยขวาง,เขตห้วยขวาง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4230,40986,,มิตรมวลชนสหคลินิก,,บางนา,เขตบางนา,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4236,41068,,เอสแอนด์ดับบลิวสหคลินิก,,คลองถนน,เขตสายไหม,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4239,41072,,โรงพยาบาลทั่วไปขนาดเล็กสหวิทยาการมะลิ,,บางบอน,เขตบางบอน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
4240,41073,,มิตรไมตรีสหคลินิก สาขาแก้วเงินทอง,,บางพรม,เขตตลิ่งชัน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4242,41078,,ราชพฤกษ์วรรณภาคลินิกเวชกรรม,,แสมดำ,เขตบางขุนเทียน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4243,41086,,คลินิกเฉพาะทางด้านเวชกรรมอายุรศาสตร์โรคไตคลินิกพระรามสองไตเทียม,,บางบอน,เขตบางบอน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4246,41089,,เคหะร่มเกล้าคลินิกเวชกรรม,,คลองสองต้นนุ่น,เขตลาดกระบัง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4247,41090,,ราษฎร์พัฒนาคลินิกเวชกรรม,,สะพานสูง,เขตสะพานสูง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4251,41097,,คลินิกเวชกรรมเอเชียติก,,วัดพระยาไกร,เขตบางคอแหลม,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4255,41324,,คลินิกทันตกรรมมูลนิธิทันตนวัตกรรมในพระบรมราชูปถัมภ์,,วังทองหลาง,เขตวังทองหลาง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4257,41369,,เค.พี.เอส.การแพทย์คลินิกเฉพาะทางด้านเวชกรรมอายุรศาสตร์โรคไต สาขาบางขุนเทียน,,แสมดำ,เขตบางขุนเทียน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4258,41370,,เอพีเอสคลินิกเฉพาะทางด้านเวชกรรมไตเทียม,,สามเสนใน,เขตพญาไท,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4259,41371,,โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,,ลาดกระบัง,เขตลาดกระบัง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม
4265,41399,,คลินิกเวชกรรมประชาราษฎร์,,บางซื่อ,เขตบางซื่อ,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4267,41401,,พันธมิตรรามอินทราคลินิกเฉพาะทางด้านเวชกรรมไตเทียม,,คันนายาว,เขตคันนายาว,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน)
4269,41403,,สถานพยาบาลเรือนจำกลางคลองเปรม,,ลาดยาว,เขตจตุจักร,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกระทรวงยุติธรรม
